,site,latitude,longitude
149,GB1351_A,55.851104386376846,-4.250399980517572
157,GD0601_A,55.88852014228608,-4.320516622166707
158,GD1401_N,0.0,0.0
159,GJ3751_C,55.81305913101706,-4.2680744225706615
160,GG1551_B,0.0,0.0
161,GA2551_S,55.86142259609011,-4.256254477099935
162,GD260A_B,55.89110456999436,-4.290987350024925
163,GG2051_T,55.860087560609024,-4.2338685490255745
164,GG2051_R,55.8590041153222,-4.230178930108884
165,GF2201_C,55.87217975382799,-4.186607648660339
166,GA2401_D,55.8582303611654,-4.256836391937465
167,GA1851_C,55.855109995962245,-4.2598670701844
168,GA2651_T,55.86365848566547,-4.255872731885361
169,GH312A_D,55.84219933396287,-4.226117518705436
170,GG267A_B,55.852237529660044,-4.177962054873924
171,GD1451_F,55.883379343501254,-4.328124888674801
172,GA1551_J,0.0,0.0
173,GE0101_C,55.877159582500326,-4.254785434732858
174,GE0101_B,55.87739374588589,-4.252304970388122
175,GK0901_C,55.81556650207109,-4.289418111939536
176,GD0351_C,55.877630349112145,-4.2906090435634265
177,GB0451_G,55.853113857427466,-4.2604062370734415
178,GH0301_A,55.8544093214602,-4.216877656291876
179,GL0451_D,55.85452238774334,-4.273222603254965
180,GL0451_B,55.85389989158973,-4.270917383441117
181,GL3551_T,55.85272444587642,-4.318509638142887
182,GD005A_S,55.87180550766946,-4.270779911528607
183,GD217A_A,55.882174875038615,-4.2786767807571655
184,GA3251_A,55.85834541660072,-4.256443574200127
185,GA2601_A,55.86250022601733,-4.257771275886284
186,GK015A_T,55.84614179114403,-4.2612633810604645
187,GH335A_R,55.83881375755194,-4.211022589524935
188,GA3221_D,55.85560181565158,-4.252162032434144
189,GA4451_D,55.866868704345855,-4.247923492651264
190,GA2151_V,55.86334737110862,-4.257644641260812
191,GL0551_B,55.853625695067436,-4.277484225646401
192,GJ3051_B,55.82623860271296,-4.264945829606332
193,GE1801_F,55.874897302108366,-4.232465148861084
194,GA1051_S,55.86051333355115,-4.262210431815335
195,GC1631_V,55.868659882459106,-4.310844018539943
196,GB1201_E,55.84687582162568,-4.255059820284952
197,GB1271_D,55.84790182656032,-4.254000984304182
198,GL1451_H,55.84403625591158,-4.332145193095567
199,GA4371_C,55.861576471367606,-4.248832258852847
200,GL1701_A,55.8456065071126,-4.3473993039699055
201,GL1251_Y,55.84973538194174,-4.319737503600846
202,GD210A_A,55.87974627266463,-4.2719791493550785
203,GF2251_R,55.873744634907204,-4.183002943328146
204,GC180A_A,55.87075887171979,-4.318705464334025
205,GJ3351_V,55.81785068626245,-4.254816623673204
206,GC1351_A,55.86726511374354,-4.290749830596191
207,GH3171_G,55.84221842482708,-4.221582310806617
208,GH3171_C,55.84266588160131,-4.225665001800007
209,GD0601_D,55.888167123099365,-4.316833340566485
210,GC095A_T,55.865049704503754,-4.275979395767575
211,GH1021_S,55.85346117681849,-4.208131912098142
212,GL0521_R,55.853761470095606,-4.278402908452971
213,GB0401_V,55.854018685494786,-4.2600753225691586
