From_Node,To_Node,To_Link,From,To,hasEntryLink,FROM_EASTINGS,FROM_NORTHINGS,TO_EASTINGS,TO_NORTHINGS
GD1251,GD1301,B,GD1251,GD1301_B,False,254985.0,667160.0,254799.0,667404.0
GD1351,GD1301,C,GD1351,GD1301_C,False,254526.0,667285.0,254799.0,667404.0
GD138B,GD1351,Y,GD138B,GD1351_Y,False,254555.0,667394.0,254526.0,667285.0
GD1301,GD1351,Q,GD1301,GD1351_Q,False,254799.0,667404.0,254526.0,667285.0
GA1361,GA070A,S,GA1361,GA070A_S,False,258567.0,665519.0,258448.0,665547.0
GD1351,GD138A,X,GD1351,GD138A_X,False,254526.0,667285.0,254546.0,667393.0
GD1401,GD138B,P,GD1401,GD138B_P,False,254600.0,667707.0,254555.0,667394.0
GD143A,GD1401,K,GD143A,GD1401_K,False,254577.0,667845.0,254600.0,667707.0
GD1301,GD1401,N,GD1301,GD1401_N,False,254799.0,667404.0,254600.0,667707.0
GD138A,GD1401,O,GD138A,GD1401_O,False,254546.0,667393.0,254600.0,667707.0
GD1451,GD143A,G,GD1451,GD143A_G,False,254609.0,668039.0,254577.0,667845.0
GD1401,GD143B,L,GD1401,GD143B_L,False,254600.0,667707.0,254588.0,667848.0
GD1501,GD1451,D,GD1501,GD1451_D,False,254632.0,668251.0,254609.0,668039.0
GD143B,GD1451,H,GD143B,GD1451_H,False,254588.0,667848.0,254609.0,668039.0
GD205A,GD200A,R,GD205A,GD200A_R,False,258112.0,666726.0,258131.0,666585.0
GA0351,GD200A,S,GA0351,GD200A_S,False,258164.0,666469.0,258131.0,666585.0
GD207A,GD205A,A,GD207A,GD205A_A,False,258030.0,666951.0,258112.0,666726.0
GD200A,GD205A,B,GD200A,GD205A_B,False,258131.0,666585.0,258112.0,666726.0
GA1321,GA1051,S,GA1321,GA1051_S,False,258526.0,665350.0,258433.0,665365.0
GD2091,GD207A,T,GD2091,GD207A_T,False,258007.0,667133.0,258030.0,666951.0
GD205A,GD207A,S,GD205A,GD207A_S,False,258112.0,666726.0,258030.0,666951.0
GD207A,GD2091,B,GD207A,GD2091_B,False,258030.0,666951.0,258007.0,667133.0
GD210A,GD2091,R,GD210A,GD2091_R,False,257997.0,667243.0,258007.0,667133.0
GD2151,GD210A,A,GD2151,GD210A_A,False,257949.0,667543.0,257997.0,667243.0
GD2091,GD210A,C,GD2091,GD210A_C,False,258007.0,667133.0,257997.0,667243.0
GD217A,GD2151,R,GD217A,GD2151_R,False,257793.0,667631.0,257949.0,667543.0
GD210A,GD2151,S,GD210A,GD2151_S,False,257997.0,667243.0,257949.0,667543.0
GD2251,GD217A,A,GD2251,GD217A_A,False,257544.0,667806.0,257793.0,667631.0
GD2151,GD217A,B,GD2151,GD217A_B,False,257949.0,667543.0,257793.0,667631.0
GD2301,GD2251,R,GD2301,GD2251_R,False,257438.0,668044.0,257544.0,667806.0
GD217A,GD2251,S,GD217A,GD2251_S,False,257793.0,667631.0,257544.0,667806.0
GD237A,GD2301,A,GD237A,GD2301_A,False,257310.0,668192.0,257438.0,668044.0
GD2251,GD2301,B,GD2251,GD2301_B,False,257544.0,667806.0,257438.0,668044.0
GD2451,GD237A,R,GD2451,GD237A_R,False,257096.0,668449.0,257310.0,668192.0
