,site,eastings,northings,latitude,longitude
149,GB0121,258218,664478,55.852651676719894,-4.265148384257253
150,GB0141,258294,664440,55.85233280955407,-4.263915407114407
151,GB0151,258275,664348,55.851501164717504,-4.2641706360824285
152,GB0251,258408,664547,55.853327034051965,-4.262151559055982
153,GB0301,258381,664439,55.85234938070797,-4.26252617866688
154,GB0351,258355,664330,55.85136304091944,-4.262884296352081
155,GB0401,258642,664721,55.85495800855796,-4.258506970029424
156,GB0451,258620,664611,55.853963873283256,-4.258800839580441
157,GB047A,258513,664635,55.85414799361754,-4.260521379277863
158,GB049A,258514,664522,55.85313366396661,-4.2604464896925665
159,GB0501,258742,664697,55.85477181027131,-4.256898145664349
160,GB0551,258717,664588,55.85378577874483,-4.257240464253067
161,GB0601,258689,664478,55.8527898884244,-4.257630132512361
162,GB0651,258662,664368,55.85179428989091,-4.258003819504505
163,GB0701,258634,664264,55.85085227107664,-4.258396575235153
164,GB0751,258584,664045,55.84887121981492,-4.259080534889449
165,GB080U,258819,663989,55.848437224151304,-4.255300616256498
166,GB105A,258872,664429,55.85240349360512,-4.254683524633753
167,GB1101,259055,664373,55.851954174544126,-4.251733337489435
168,GB113A,259017,664254,55.85087456673405,-4.252278071191009
169,GB1151,258996,664192,55.85031172982759,-4.252581050884497
170,GB117A,259137,664515,55.85325314896824,-4.250498162213254
171,GB1201,258922,663963,55.84823390059908,-4.25364315512559
172,GB1271,258913,663626,55.845205340151004,-4.253611635194773
173,GB1281,258890,663458,55.84369013911898,-4.253891375267612
174,GB1301,258979,663951,55.848142817114336,-4.252727167492609
175,GB1321,259105,664138,55.849858709839566,-4.250813217764465
176,GB1351,259298,664230,55.850741111610034,-4.247780388851377
177,GB1371,259185,664292,55.851264839738484,-4.249616226857409
178,GB140A,259382,664385,55.85215735807869,-4.246519930562705
179,GB145A,259602,664048,55.84919549184629,-4.242833874612418
180,GB145B,259600,664036,55.8490871608371,-4.2428595888472636
181,GB1551,259196,663660,55.845593296568346,-4.249112770376984
182,GB1601,259859,663869,55.84766295680935,-4.238639441526009
183,GB165A,259965,663797,55.847047239035305,-4.2369104809388975
184,GC0051,257696,665662,55.8631289519662,-4.274101796001617
185,GC0101,257331,665402,55.86068659616042,-4.279792740859543
186,GC012A,257353,665507,55.86163588224058,-4.279496732704719
187,GC0151,257394,665716,55.86352458612693,-4.278952048621123
188,GC0201,257306,665250,55.85931441648458,-4.280111902430396
189,GC0251,257283,665089,55.857862018238016,-4.280394378908761
190,GC0271,255904,666123,55.86673593273367,-4.302958189231861
191,GC0301,255621,666292,55.868168657842766,-4.307567017791403
192,GC0321,255498,666274,55.86797018985406,-4.309521501305883
193,GC035A,255148,666398,55.86897850098668,-4.315176557880529
194,GC050U,254135,666685,55.87124988457144,-4.331506829725727
195,GC095A,257683,665756,55.863969128340955,-4.274358697101498
196,GC1001,257661,665899,55.86524661118684,-4.274785038695968
197,GC1051,257648,665993,55.86608678562339,-4.275041969725516
198,GC1101,257398,665967,55.86577945635518,-4.279020196554231
199,GC115A,257191,665941,55.86548473752641,-4.28231176262058
200,GC120A,257159,665862,55.86476593214722,-4.282781095601941
201,GC125A,257025,665940,55.86542656088321,-4.284961806321782
202,GC1301,256873,666115,55.8669527484334,-4.2874812167754826
203,GC132U,256929,666211,55.8678313333007,-4.2866376821357095
204,GC1351,256836,666053,55.86638507862307,-4.288039285871567
205,GC1401,256728,666191,55.8675920654881,-4.2898367208067665
206,GC145U,256592,666167,55.86733613935193,-4.291995683348211
207,GC152A,256588,666397,55.86940006107792,-4.292181239845782
208,GC155A,256453,666471,55.87002430644615,-4.29437621818693
209,GC1601,256211,666538,55.87055375590302,-4.298276263719121
210,GC1621,255598,666413,55.869248185207546,-4.307998744740867
211,GC1631,255497,666391,55.869020390564344,-4.3095998410254275
212,GC164A,255825,666418,55.869361022100044,-4.304376529477848
213,GC165A,256043,666582,55.87089867631221,-4.300982459435078
214,GC167U,256044,666719,55.87212905482726,-4.301039261126389
215,GC168A,255890,666586,55.8708888746228,-4.303427890770349
216,GC1701,255612,666590,55.870841598692245,-4.30786947596848
217,GC1751,255391,666593,55.87080228684466,-4.311400269635238
218,GC177U,255342,666817,55.87279879422218,-4.312302324341328
219,GC180A,255161,666596,55.870760169604246,-4.315074775463435
220,GC185A,255014,666600,55.87075189262476,-4.317424372315643
221,GC205U,254319,666749,55.87188015298891,-4.32860290670464
