FEID,EASTINGS,NORTHINGS
GH125A,264002,663307
GH127U,264502,663167
GH195A,259957,664624
GH195B,259929,664576
GH2001,260068,664517
GH202A,260186,664402
GH2051,260407,664174
GH207U,260594,664402
GH210A,260700,664021
GH2151,261348,663961
GH2201,261740,663895
GH225A,262058,663844
GH2601,262219,663816
GH2621,262495,663661
GH2671,262597,663572
GH2701,263536,662893
GH3051,260359,663816
GH307A,260442,663595
GH3101,260712,663260
GH312A,260640,663127
GH315U,260685,663764
GH3171,260929,663285
GH320A,261019,663614
GH322A,261237,663588
GH3251,261114,663482
GH3271,261243,663278
GH3301,261369,663106
GH335A,261457,663026
GH3361,662960,261527
GH337A,261640,662825
GH337B,261643,662834
GH340A,261378,663393
GH3451,261661,663656
GH4201,266410,662845
GH4251,267141,662801
GH4351,265639,662629
GH4371,265171,662522
GH4401,264801,662436
GH4501,264102,662331
GH4502,264067,662325
GH4521,264062,662446
GH4522,264120,662441
GH4551,264175,662562
GH4601,264051,662634
GH4751,264839,662291
GI0051,259304,663623
GI010A,259622,663426
GI010B,259618,663419
GI012U,259715,663274
GI013U,259729,663269
GI0251,260364,662808
GI0301,260562,663040
GI0401,260155,662800
GI0551,259855,662870
GI057U,259720,663002
GI058U,259715,662994
GI0601,259803,662806
GI0651,259761,662762
GI130A,260102,661791
GI1351,260008,661803
GI1501,260596,659885
GI155A,260147,659278
GI1571,260232,659159
GJ0051,259254,662554
GJ0071,259509,662479
GJ011A,259266,662193
GJ0131,259287,662121
GJ0141,259315,661829
GJ0151,259332,661749
GJ0161,259403,661768
GJ0171,259518,661775
GJ019A,259343,661662
GJ020A,259354,661522
GJ025A,259172,661178
GJ0301,259106,660850
GJ0321,259496,660802
GJ0351,259100,660726
GJ0401,259477,660682
GJ095A,259342,660349
GJ100A,259373,660096
GJ105A,259431,659799
GJ110U,259498,659705
GJ111U,259467,659644
GJ112U,259342,658747
GJ113U,259401,659679
GJ114U,259460,659631
GJ115U,259406,658978
GJ120U,259134,658445
GJ210A,258502,663484
GJ215A,258411,663314
GJ220A,258345,663049
GJ225A,258321,662939
GJ2301,258295,662828
GJ235U,258458,662783
GJ2401,258262,662698
GJ245U,258405,662646
GJ247U,258482,662617
GJ250A,258232,662561
GJ252A,258209,662468
GJ2551,258189,662357
GJ2601,258931,662647
GJ2701,258817,663155
GJ275A,258761,662901
GJ2801,258748,662700
GJ282A,258754,662604
GJ2851,258780,662506
GJ290A,258814,662283
GJ3001,258304,661937
GJ302U,258261,661853
GJ304A,258388,661720
GJ3051,258162,661626
GJ3101,258567,661727
GJ315A,258627,661602
GJ318A,258656,661332
GJ3201,258628,661278
GJ325A,258444,661056
GJ3301,258763,660916
GJ3351,258774,660676
GJ342U,258436,660527
GJ3551,258401,660653
GJ360U,258315,660552
GJ3651,258341,660525
GJ370A,258233,660386
GJ3751,258034,660161
GJ380A,257859,659933
GJ3851,257713,659609
GJ387U,257402,659746
GJ3901,257377,660849
GJ3951,257349,660216
GJ400U,257425,661150
GK0051,258518,663770
GK015A,258458,663511
GK020A,258375,663337
GK0251,258234,663162
GK0301,258065,662889
GK0351,257984,662752
GK037A,257907,662675
GK0401,257840,662608
GK045A,257667,662453
GK0501,257361,662162
GK0551,257231,662052
GK057U,256980,661938
GK070A,257105,661934
GK075A,256926,661588
GK0801,256866,661328
GK0851,256808,661031
GK0901,256700,660490
GK095A,256516,660188
GK0971,256442,660665
GK100U,256599,661101
GK1051,256174,660828
GK110U,256327,661503
GK1501,257647,663752
GK1521,258062,663491
GK1551,257987,663254
GK157A,257926,663095
GK1601,257729,662871
GK165U,257570,662784
GK1701,257069,662478
GK1801,256831,662483
GK195U,257492,663095
GK2001,257781,663329
GK202U,256937,663752
GK2051,256749,663372
GK210U,256635,663096
GK2151,256232,662546
GK2201,256299,662168
GK2231,256293,661967
GK2251,256255,661738
GK230A,256050,661518
GK230B,256061,661518
GK2331,253512,659343
GK235A,255942,661337
GK235B,255951,661337
GK2371,253351,659414
GK305U,255872,661013
GK3071,256007,660914
GK310U,255805,660926
GK312U,255838,660650
GK3151,255771,660480
GK320U,255625,660308
GK3251,255402,660123
GK3501,660214,254359
GK3551,254251,660296
GK360U,253575,660073
GK3951,252728,660765
GK400U,252995,661221
GK401U,253013,661228
GK4021,253035,661288
GK4031,253206,660917
GK4051,254199,661282
GK4071,253897,661330
GK408U,253565,661074
GK4101,253586,661385
GK4121,253720,661364
GK413U,253448,661418
GK414U,253446,661408
GK415U,253224,661481
GK416U,253227,661468
GK420U,253201,661534
GK421U,253214,661531
GK425U,253130,661451
GK426U,253143,661453
GK430U,253135,661543
GK431U,253142,661553
GK435U,253108,661517
GK436U,253110,661505
GK4371,253364,661689
GK440U,253500,661981
GK441U,253511,661982
GK445U,253580,662323
GK446U,253573,662306
GK4501,252040,661274
GK4551,251609,660919
GK4571,252052,661645
GK4581,252072,662163
GK4591,252064,661959
GK4601,252130,662649
GK4651,252107,662408
GK4671,252062,662733
GK4701,251919,662969
GK475U,252638,662539
GK476U,252645,662526
GK4951,254160,658932
GK5001,253675,659214
GK5002,253626,659263
GK5021,253462,659232
GK5022,253417,659220
GK5051,253903,659085
GK507U,253407,659682
GK5101,252877,659694
GK512U,252376,659642
GK5131,252528,660003
GK5141,252659,659900
GK516A,252203,660297
GK516B,252196,660285
GK520A,252069,660592
GK5251,252152,660451
GK550U,251979,659624
GL0051,257948,664188
GL010A,257825,664190
GL0151,257575,664189
GL025U,257515,664324
GL0271,257525,664407
GL0301,257943,664260
GL0351,257940,664385
GL0401,257989,664643
GL0451,257808,664627
GL0521,257547,664621
GL0551,257471,664629
GL060A,257251,664588
GL065A,257077,664545
GL070A,256902,664503
GL080A,256487,664456
GL085A,256228,664416
GL085B,256235,664406
GL088A,256099,664379
GL090U,255711,664480
GL095A,255689,664314
GL0971,255544,663030
GL0981,255534,663238
GL0991,255520,663546
GL1001,255517,663332
GL102U,255930,663635
GL1051,255484,663677
GL1101,255479,664134
GL1151,255415,664253
GL117U,255372,664393
GL1251,254884,664280
GL1301,254635,664051
GL1351,254177,663948
GL1401,253945,663904
GL142A,253844,663892
GL142B,253856,663881
GL1451,254107,663746
GL1501,254390,663555
GL155A,254681,663406
GL160U,253886,663168
GL165A,253845,662848
GL165B,253855,662850
GL167U,253335,663381
GL1691,253466,663865
GL1701,253350,663858
GL1711,253406,664213
GL1751,253524,664467
GL180U,253561,664677
GL1821,253112,663865
GL1851,252639,663911
GL187U,252583,663612
GL1901,252351,663897
GL192A,252347,664022
GL1951,252061,663880
GL1961,252041,663396
GL1962,252061,663530
GL199U,252167,664166
GL200U,252179,664172
GL2011,252122,664687
GL203U,252077,664917
GL204U,252094,664929
GL2051,254654,664786
GL2071,254254,664893
GL210U,254074,664939
GL215A,253739,665037
GL215B,253743,665046
GL220U,253542,665165
GL2251,253138,665443
GL228A,255220,665827
GL230A,252903,665928
GL230B,252903,665939
GL250U,253676,665261
GL255U,253698,665246
GL2601,253963,665899
GL2621,256361,664825
GL2651,256587,664942
GL268A,256745,664991
GL268B,256745,664997
GL2701,256935,664952
GL2702,256924,664961
GL2721,256148,664909
GL275A,256147,664987
GL275B,256154,664988
GL2801,257057,664907
GL2802,257058,664925
GL285A,257128,664954
GL285B,257125,664965
GL295A,255745,665520
GL297A,256094,665320
GL3001,253983,665976
GL305A,254467,665885
GL3071,254401,665868
GL310A,254343,665812
GL310B,254352,665809
GL315A,254132,665919
GL320U,254204,665995
GL325A,254952,665854
GL3301,255057,665813
GL3302,255058,665821
GL332A,255082,665665
GL3351,255253,665640
GL3371,255361,665629
GL340A,255450,665720
GL341A,255462,665614
GL341B,255471,665622
GL3451,255544,665623
GL350U,255224,665192
GL3551,254924,664480
GL4101,253816,666037
GL4151,253697,666099
GL4251,253388,665882
DD1251,249663,670077
DD1271,249760,669994
DD1301,249913,669835
DD1351,249694,670214
DD1451,249843,670945
DD1601,249808,671432
DD1621,250014,670178
DD1251,249663,670077
DD1271,249760,669994
DD1301,249913,669835
DD1351,249694,670214
DD1451,249843,670945
DD1601,249808,671432
DD1621,250014,670178
DD1251,249663,670077
DD1271,249760,669994
DD1301,249913,669835
DD1351,249694,670214
DD1451,249843,670945
DD1601,249808,671432
DD1621,250014,670178
DD1251,249663,670077
DD1271,249760,669994
DD1301,249913,669835
DD1351,249694,670214
DD1451,249843,670945
DD1601,249808,671432
DD1621,250014,670178
DD1251,249663,670077
DD1271,249760,669994
DD1301,249913,669835
DD1351,249694,670214
DD1451,249843,670945
DD1601,249808,671432
DD1621,250014,670178
DD1251,249663,670077
DD1271,249760,669994
DD1301,249913,669835
DD1351,249694,670214
DD1451,249843,670945
DD1601,249808,671432
DD1621,250014,670178
DD1251,249663,670077
DD1271,249760,669994
DD1301,249913,669835
DD1351,249694,670214
DD1451,249843,670945
DD1601,249808,671432
DD1621,250014,670178
DD1251,249663,670077
DD1271,249760,669994
DD1301,249913,669835
DD1351,249694,670214
DD1451,249843,670945
DD1601,249808,671432
DD1621,250014,670178
DD1251,249663,670077
DD1271,249760,669994
DD1301,249913,669835
DD1351,249694,670214
DD1451,249843,670945
DD1601,249808,671432
DD1621,250014,670178
DD1251,249663,670077
DD1271,249760,669994
DD1301,249913,669835
DD1351,249694,670214
DD1451,249843,670945
DD1601,249808,671432
DD1621,250014,670178
DD1251,249663,670077
DD1271,249760,669994
DD1301,249913,669835
DD1351,249694,670214
DD1451,249843,670945
DD1601,249808,671432
DD1621,250014,670178
DD1251,249663,670077
DD1271,249760,669994
DD1301,249913,669835
DD1351,249694,670214
DD1451,249843,670945
DD1601,249808,671432
DD1621,250014,670178
DD1251,249663,670077
DD1271,249760,669994
DD1301,249913,669835
DD1351,249694,670214
DD1451,249843,670945
DD1601,249808,671432
DD1621,250014,670178
DD1251,249663,670077
DD1271,249760,669994
DD1301,249913,669835
DD1351,249694,670214
DD1451,249843,670945
DD1601,249808,671432
DD1621,250014,670178
