From_Node,To_Node,To_Link,From,To,hasEntryLink,FROM_EASTINGS,FROM_NORTHINGS,TO_EASTINGS,TO_NORTHINGS
GB1271,GB1551,R,GB1271,GB1551_R,FALSE,258913,663626,259196,663660
GI0051,GB1551,S,GI0051,GB1551_S,FALSE,259304,663623,259196,663660
GB145A,GB1601,A,GB145A,GB1601_A,FALSE,259602,664048,259859,663869
GB165A,GB1601,B,GB165A,GB1601_B,FALSE,259965,663797,259859,663869
GB1601,GB165A,R,GB1601,GB165A_R,FALSE,259859,663869,259965,663797
GH3051,GB165A,S,GH3051,GB165A_S,FALSE,260359,663816,259965,663797
GA0151,GC0051,E,GA0151,GC0051_E,FALSE,258001,665649,257696,665662
GC095A,GC0051,G,GC095A,GC0051_G,FALSE,257683,665756,257696,665662
GC0151,GC0051,D,GC0151,GC0051_D,FALSE,257394,665716,257696,665662
GC012A,GC0101,T,GC012A,GC0101_T,FALSE,257353,665507,257331,665402
GC012A,GC0101,L,GC012A,GC0101_L,FALSE,257353,665507,257331,665402
GC4151,GC0101,V,GC4151,GC0101_V,FALSE,257191,665398,257331,665402
GC4151,GC0101,W,GC4151,GC0101_W,FALSE,257191,665398,257331,665402
GC0101,GC012A,M,GC0101,GC012A_M,FALSE,257331,665402,257353,665507
GC0151,GC012A,N,GC0151,GC012A_N,FALSE,257394,665716,257353,665507
GA0401,GA0451,M,GA0401,GA0451_M,FALSE,258130,665622,258154,665888
GC120A,GC0151,A,GC120A,GC0151_A,FALSE,257159,665862,257394,665716
GC0051,GC0151,B,GC0051,GC0151_B,FALSE,257696,665662,257394,665716
GC012A,GC0151,E,GC012A,GC0151_E,FALSE,257353,665507,257394,665716
GC0251,GC0201,C,GC0251,GC0201_C,FALSE,257283,665089,257306,665250
GC0101,GC0201,D,GC0101,GC0201_D,FALSE,257331,665402,257306,665250
GC0101,GC0201,G,GC0101,GC0201_G,FALSE,257331,665402,257306,665250
GL285A,GC0251,V,GL285A,GC0251_V,FALSE,257128,664954,257283,665089
GC4051,GC0251,R,GC4051,GC0251_R,FALSE,257142,665205,257283,665089
GL285B,GC0251,M,GL285B,GC0251_M,FALSE,257125,664965,257283,665089
GC0201,GC0251,T,GC0201,GC0251_T,FALSE,257306,665250,257283,665089
GC0201,GC0251,W,GC0201,GC0251_W,FALSE,257306,665250,257283,665089
GC420A,GC0251,H,GC420A,GC0251_H,FALSE,257681,664990,257283,665089
GC0301,GC0271,A,GC0301,GC0271_A,FALSE,255621,666292,255904,666123
GC0321,GC0301,R,GC0321,GC0301_R,FALSE,255498,666274,255621,666292
GC1621,GC0301,T,GC1621,GC0301_T,FALSE,255598,666413,255621,666292
GC0301,GC0321,B,GC0301,GC0321_B,FALSE,255621,666292,255498,666274
GC1621,GC0321,D,GC1621,GC0321_D,FALSE,255598,666413,255498,666274
GC0051,GC095A,V,GC0051,GC095A_V,FALSE,257696,665662,257683,665756
GC125A,GC120A,G,GC125A,GC120A_G,FALSE,257025,665940,257159,665862
GC0151,GC120A,H,GC0151,GC120A_H,FALSE,257394,665716,257159,665862
